Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;D;D1;AQ00000036;14;Posti auto coperti;NORMALE;P;390;580;L;1,7;2,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;D;D1;AQ00000036;15;Posti auto scoperti;NORMALE;P;130;190;L;1;1,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;D;D1;AQ00000036;1;Ville e Villini;NORMALE;P;970;1450;L;3,6;5,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;D;D1;AQ00000036;9;Magazzini;NORMALE;P;400;590;L;2,5;3,8;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;D;D1;AQ00000036;5;Negozi;NORMALE;P;780;1550;L;4,9;7,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;D;D1;AQ00000036;6;Uffici;NORMALE;P;870;1300;L;4,9;7,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;D;D1;AQ00000036;8;Capannoni industriali;NORMALE;P;360;530;L;2,1;3,2;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;D;D1;AQ00000036;7;Capannoni tipici;NORMALE;P;480;720;L;3,2;4,8;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;D;D1;AQ00000036;10;Laboratori;NORMALE;P;500;760;L;3,1;4,7;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;20;Abitazioni civili;NORMALE;P;610;910;L;1,8;2,7;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;21;Abitazioni di tipo economico;NORMALE;P;490;730;L;1,4;2;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;16;Autorimesse;NORMALE;P;190;280;L;1;1,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;13;Box;NORMALE;P;290;430;L;1,1;1,6;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;14;Posti auto coperti;NORMALE;P;250;280;L;,8;1,2;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;15;Posti auto scoperti;NORMALE;P;90;120;L;,5;,7;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;1;Ville e Villini;NORMALE;P;640;960;L;2;3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;9;Magazzini;NORMALE;P;290;430;L;1,5;2,1;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;5;Negozi;NORMALE;P;580;970;L;3,9;5,8;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;6;Uffici;NORMALE;P;530;780;L;2,8;4,2;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;8;Capannoni industriali;NORMALE;P;250;380;L;1,3;1,8;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;7;Capannoni tipici;NORMALE;P;290;430;L;1,5;2,1;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E3;AQ00000040;10;Laboratori;NORMALE;P;300;440;L;1,7;2,6;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;20;Abitazioni civili;NORMALE;P;620;850;L;2,4;3,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;21;Abitazioni di tipo economico;NORMALE;P;520;720;L;2;2,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;16;Autorimesse;NORMALE;P;190;250;L;1;1,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;13;Box;NORMALE;P;350;520;L;1,6;2,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;14;Posti auto coperti;NORMALE;P;270;380;L;1,4;2;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;15;Posti auto scoperti;NORMALE;P;110;160;L;,7;,9;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;1;Ville e Villini;NORMALE;P;650;970;L;2,5;3,7;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;9;Magazzini;NORMALE;P;290;430;L;2,1;3,2;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;5;Negozi;NORMALE;P;630;940;L;3,9;5,8;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;6;Uffici;NORMALE;P;600;900;L;3,4;5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;8;Capannoni industriali;NORMALE;P;300;440;L;1,6;2,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;7;Capannoni tipici;NORMALE;P;350;520;L;1,9;2,9;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E4;AQ00000041;10;Laboratori;NORMALE;P;420;620;L;2;2,9;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;20;Abitazioni civili;NORMALE;P;650;970;L;2,7;4;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;21;Abitazioni di tipo economico;NORMALE;P;580;870;L;2,5;3,7;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;16;Autorimesse;NORMALE;P;190;280;L;1,1;1,6;L;
