Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;20;Abitazioni civili;NORMALE;P;2000;2950;L;8,5;12,7;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;21;Abitazioni di tipo economico;NORMALE;P;1750;2550;L;6,8;10,1;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;19;Abitazioni signorili;NORMALE;P;2850;4200;L;8,6;12,8;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;16;Autorimesse;NORMALE;P;1450;2150;L;6,1;9,1;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;13;Box;NORMALE;P;2550;3800;L;9,6;14,3;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;14;Posti auto coperti;NORMALE;P;2000;2950;L;9,2;13,6;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;15;Posti auto scoperti;NORMALE;P;1850;2700;L;8,6;12,8;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;17;Centri commerciali;NORMALE;P;1600;2300;L;8,9;14,4;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;9;Magazzini;NORMALE;P;850;1600;L;4;7,7;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;5;Negozi;OTTIMO;P;4200;8300;L;27,1;53,7;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;5;Negozi;NORMALE; ;1300;2550;L;13,1;25,9;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;6;Uffici;NORMALE;P;1350;2000;L;7;13,1;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;6;Uffici;OTTIMO; ;2500;4800;L;14;27,9;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;18;Uffici strutturati;NORMALE; ;1950;3000;L;10,1;15;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;18;Uffici strutturati;OTTIMO;P;2900;5500;L;15,9;30,2;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B01;GE00003316;10;Laboratori;NORMALE;P;1050;1750;L;4,7;7,7;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B02;GE00003317;20;Abitazioni civili;NORMALE;P;2200;3200;L;7,1;10,5;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B02;GE00003317;21;Abitazioni di tipo economico;NORMALE;P;1750;2600;L;6,2;9,2;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B02;GE00003317;19;Abitazioni signorili;OTTIMO;P;3100;4600;L;7,8;11,5;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B02;GE00003317;16;Autorimesse;NORMALE;P;1350;2000;L;5,5;8,1;L;
NORD-OVEST;LIGURIA;GE;7010025;G1AA; ;D969;GENOVA;B;B02;GE00003317;13;Box;NORMALE;P;2700;4000;L;8,9;13,3;L;
