Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B1;BO00000028;20;Abitazioni civili;OTTIMO; ;3900;5000;L;;;;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B1;BO00000028;20;Abitazioni civili;NORMALE;P;2900;4000;L;10;15;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B1;BO00000028;21;Abitazioni di tipo economico;NORMALE;P;2700;3700;L;9,5;14,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B1;BO00000028;13;Box;NORMALE;P;3900;6900;L;11;18;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B1;BO00000028;5;Negozi;OTTIMO; ;3200;7900;L;27;56;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B1;BO00000028;5;Negozi;NORMALE;P;1750;3200;L;16;27;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B1;BO00000028;6;Uffici;NORMALE;P;2000;3200;L;10,5;15;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B1;BO00000028;6;Uffici;OTTIMO; ;3000;4000;L;13;17,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B7;BO00003125;20;Abitazioni civili;OTTIMO; ;3600;4800;L;;;;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B7;BO00003125;20;Abitazioni civili;NORMALE;P;2950;3800;L;10;14,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B7;BO00003125;21;Abitazioni di tipo economico;NORMALE;P;2500;3700;L;9;13;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B7;BO00003125;13;Box;NORMALE;P;4300;7000;L;11,5;16,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B7;BO00003125;5;Negozi;OTTIMO;P;2750;4100;L;10;17,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B7;BO00003125;5;Negozi;NORMALE; ;2400;3600;L;9,5;16;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B7;BO00003125;6;Uffici;NORMALE;P;2250;3000;L;6;9,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;B;B7;BO00003125;6;Uffici;OTTIMO; ;2850;3800;L;6,5;11,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C10;BO00002686;20;Abitazioni civili;OTTIMO; ;2700;3600;L;;;;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C10;BO00002686;20;Abitazioni civili;NORMALE;P;2350;3400;L;10;14,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C10;BO00002686;21;Abitazioni di tipo economico;NORMALE;P;2000;2400;L;8;11,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C10;BO00002686;13;Box;NORMALE;P;3600;4600;L;11;14;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C10;BO00002686;5;Negozi;OTTIMO;P;2400;3400;L;10;16;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C10;BO00002686;5;Negozi;NORMALE; ;1800;2300;L;8,5;12;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C10;BO00002686;6;Uffici;NORMALE;P;2000;2600;L;7;10;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C10;BO00002686;6;Uffici;OTTIMO; ;2500;3100;L;9;11;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C11;BO00003054;20;Abitazioni civili;OTTIMO; ;2850;3400;L;;;;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C11;BO00003054;20;Abitazioni civili;NORMALE;P;2600;3100;L;9;13,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C11;BO00003054;21;Abitazioni di tipo economico;NORMALE;P;2050;2550;L;7;11;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C11;BO00003054;13;Box;NORMALE;P;3300;4800;L;9,5;14,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C11;BO00003054;5;Negozi;OTTIMO;P;2700;3600;L;13,5;20;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C11;BO00003054;5;Negozi;NORMALE; ;2000;2600;L;9;12;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C11;BO00003054;6;Uffici;NORMALE;P;1750;2700;L;6;8;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C11;BO00003054;6;Uffici;OTTIMO; ;2450;3100;L;8;10;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C3;BO00002624;20;Abitazioni civili;OTTIMO; ;3000;3800;L;;;;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C3;BO00002624;20;Abitazioni civili;NORMALE;P;2500;2900;L;9,5;13,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C3;BO00002624;21;Abitazioni di tipo economico;NORMALE;P;2400;2700;L;7;11;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C3;BO00002624;13;Box;NORMALE;P;3300;4500;L;8;12;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C3;BO00002624;5;Negozi;OTTIMO;P;2550;3700;L;12;15,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C3;BO00002624;5;Negozi;NORMALE; ;1900;2500;L;9;12,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C3;BO00002624;6;Uffici;NORMALE;P;2100;2450;L;6;7;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C3;BO00002624;6;Uffici;OTTIMO; ;2450;3000;L;7;9;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C4;BO00002625;20;Abitazioni civili;OTTIMO; ;2900;4200;L;;;;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C4;BO00002625;20;Abitazioni civili;NORMALE;P;2700;3000;L;9,5;13,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C4;BO00002625;21;Abitazioni di tipo economico;NORMALE;P;2000;2750;L;8;12;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C4;BO00002625;13;Box;NORMALE;P;3600;4800;L;10;14,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C4;BO00002625;5;Negozi;OTTIMO;P;2450;3200;L;9;12,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C4;BO00002625;5;Negozi;NORMALE; ;1900;2450;L;7,5;11,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C4;BO00002625;6;Uffici;NORMALE;P;2250;2450;L;6;8,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C4;BO00002625;6;Uffici;OTTIMO; ;2500;3300;L;7;10,5;L;
NORD-EST;EMILIA-ROMAGNA;BO;8037006;H1AA; ;A944;BOLOGNA;C;C5;BO00002644;20;Abitazioni civili;OTTIMO; ;3700;4900;L;;;;
