Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-EST;FRIULI-VENEZIA GIULIA;GO;6031007;F3AA; ;E098;GORIZIA;B;B1;GO00000024;20;Abitazioni civili;NORMALE;P;850;1150;L;5,2;7,2;L;
NORD-EST;FRIULI-VENEZIA GIULIA;GO;6031007;F3AA; ;E098;GORIZIA;B;B1;GO00000024;21;Abitazioni di tipo economico;NORMALE;P;640;830;L;3,5;5;L;
NORD-EST;FRIULI-VENEZIA GIULIA;GO;6031007;F3AA; ;E098;GORIZIA;B;B1;GO00000024;16;Autorimesse;NORMALE;P;570;680;L;3,6;4,5;L;
NORD-EST;FRIULI-VENEZIA GIULIA;GO;6031007;F3AA; ;E098;GORIZIA;B;B1;GO00000024;13;Box;NORMALE;P;680;810;L;4,3;5,6;L;
NORD-EST;FRIULI-VENEZIA GIULIA;GO;6031007;F3AA; ;E098;GORIZIA;B;B1;GO00000024;14;Posti auto coperti;NORMALE;P;520;630;L;3,5;4,3;L;
NORD-EST;FRIULI-VENEZIA GIULIA;GO;6031007;F3AA; ;E098;GORIZIA;B;B1;GO00000024;15;Posti auto scoperti;NORMALE;P;265;330;L;1,6;2,2;L;
NORD-EST;FRIULI-VENEZIA GIULIA;GO;6031007;F3AA; ;E098;GORIZIA;B;B1;GO00000024;1;Ville e Villini;NORMALE;P;1000;1250;L;4,9;6,2;L;
NORD-EST;FRIULI-VENEZIA GIULIA;GO;6031007;F3AA; ;E098;GORIZIA;B;B1;GO00000024;9;Magazzini;NORMALE;P;245;340;L;2,8;4,2;L;
NORD-EST;FRIULI-VENEZIA GIULIA;GO;6031007;F3AA; ;E098;GORIZIA;B;B1;GO00000024;5;Negozi;NORMALE;P;420;610;L;7;10,5;L;
NORD-EST;FRIULI-VENEZIA GIULIA;GO;6031007;F3AA; ;E098;GORIZIA;B;B1;GO00000024;6;Uffici;NORMALE;P;425;630;L;5,3;8,1;L;
