Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;20;Abitazioni civili;NORMALE;P;1250;1600;L;5,5;8;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;21;Abitazioni di tipo economico;NORMALE;P;860;1100;L;3,4;4,8;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;16;Autorimesse;NORMALE;P;455;610;L;2,5;3,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;13;Box;NORMALE;P;710;1000;L;4,1;6,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;14;Posti auto coperti;NORMALE;P;510;660;L;2,8;4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;15;Posti auto scoperti;NORMALE;P;405;510;L;2,1;2,7;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;5;Negozi;NORMALE;P;600;1200;L;6;11;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;6;Uffici;NORMALE;P;800;1600;L;4,5;9;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;20;Abitazioni civili;NORMALE;P;950;1500;L;7,1;9,6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;21;Abitazioni di tipo economico;NORMALE;P;900;1200;L;4;6,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;16;Autorimesse;NORMALE;P;510;610;L;2,9;3,7;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;13;Box;NORMALE;P;810;1100;L;4,9;7,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;14;Posti auto coperti;NORMALE;P;610;760;L;3,3;4,6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;15;Posti auto scoperti;NORMALE;P;405;510;L;2,4;3,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;5;Negozi;NORMALE;P;1900;3000;L;9;13,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;6;Uffici;NORMALE;P;1150;1700;L;5,2;7,3;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D3;BL00011238;20;Abitazioni civili;NORMALE;P;1000;1450;L;3,5;6,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D3;BL00011238;21;Abitazioni di tipo economico;NORMALE;P;710;910;L;3,1;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D3;BL00011238;16;Autorimesse;NORMALE;P;335;445;L;1,9;2,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D3;BL00011238;13;Box;NORMALE;P;550;760;L;3,1;4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D3;BL00011238;14;Posti auto coperti;NORMALE;P;405;560;L;2,1;3;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D3;BL00011238;15;Posti auto scoperti;NORMALE;P;270;385;L;1,5;2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D3;BL00011238;1;Ville e Villini;NORMALE;P;1250;1400;L;4;6,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D3;BL00011238;5;Negozi;NORMALE;P;800;1000;L;4,2;5,3;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D3;BL00011238;6;Uffici;NORMALE;P;950;1300;L;4,4;5,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D3;BL00011238;7;Capannoni tipici;NORMALE;P;405;540;L;3,2;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D3;BL00011238;10;Laboratori;NORMALE;P;325;450;L;2,7;3,7;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D4;BL00011814;20;Abitazioni civili;NORMALE;P;900;1400;L;3,8;5,6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D4;BL00011814;21;Abitazioni di tipo economico;NORMALE;P;710;910;L;3,1;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D4;BL00011814;16;Autorimesse;NORMALE;P;335;445;L;1,9;2,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;D4;BL00011814;13;Box;NORMALE;P;550;760;L;3,1;4;L;
